Timestamp,Alert Type,Severity,Status,Source IP,Destination IP,Threat Category,Time to Triage (min),Time to Resolve (min)
2026-01-13 02:02:52,Malware Download Detected,Medium,Open,111.220.11.174,190.73.105.237,Malware,35,134
2026-01-13 05:11:57,Ransomware Activity Detected,Medium,In Progress,10.162.43.175,201.223.48.31,Ransomware,24,93
2026-01-13 07:40:15,Suspicious Phishing Email,Low,False Positive,33.248.7.46,10.164.233.220,Phishing,57,131
2026-01-13 16:26:56,Data Exfiltration Anomaly,Low,False Positive,10.249.235.58,10.210.147.217,Exfiltration,32,111
2026-01-13 17:34:35,Brute Force Login Attempt,Medium,False Positive,175.158.122.15,10.51.34.32,Credential Access,28,166
2026-01-13 20:45:49,Ransomware Activity Detected,Critical,False Positive,10.220.169.88,10.208.235.42,Ransomware,9,87
2026-01-13 21:08:51,C2 Beaconing Detected,Medium,Resolved,166.108.15.162,45.133.34.19,C2 Beaconing,21,78
2026-01-14 00:55:15,Ransomware Activity Detected,High,Resolved,10.54.205.107,39.203.111.43,Ransomware,19,73
2026-01-14 02:16:17,Suspicious Phishing Email,Medium,False Positive,10.101.110.123,10.100.103.32,Phishing,30,134
2026-01-14 05:09:48,Brute Force Login Attempt,Medium,Resolved,149.175.109.13,10.54.24.197,Credential Access,32,223
2026-01-14 05:36:11,Malware Download Detected,Low,Open,10.240.58.182,10.251.222.119,Malware,48,168
2026-01-14 07:52:09,Data Exfiltration Anomaly,Medium,Resolved,10.122.131.45,10.115.139.59,Exfiltration,44,145
2026-01-14 08:19:17,C2 Beaconing Detected,Low,False Positive,10.80.221.167,10.243.142.231,C2 Beaconing,24,173
2026-01-14 08:51:10,Data Exfiltration Anomaly,Critical,Resolved,10.203.203.30,10.142.176.108,Exfiltration,11,75
2026-01-14 11:36:23,Credential Harvesting Site Access,High,In Progress,10.252.240.113,10.188.225.236,Credential Harvesting,19,92
2026-01-14 14:13:39,Suspicious Phishing Email,Low,Open,50.73.93.0,10.39.38.19,Phishing,40,110
2026-01-14 16:16:07,Suspicious Phishing Email,Medium,False Positive,10.148.150.170,221.57.215.148,Phishing,37,179
2026-01-14 17:33:07,Malware Download Detected,Medium,In Progress,79.107.88.201,178.207.149.46,Malware,23,177
2026-01-14 18:04:28,Credential Harvesting Site Access,Critical,Resolved,216.178.248.183,10.186.210.215,Credential Harvesting,20,86
2026-01-14 19:45:15,Malware Download Detected,Low,In Progress,23.208.152.17,10.118.131.146,Malware,7,163
2026-01-15 11:10:13,Malware Download Detected,High,In Progress,211.158.25.140,10.30.136.224,Malware,3,80
2026-01-15 11:19:17,Data Exfiltration Anomaly,Medium,False Positive,10.189.9.224,10.75.210.242,Exfiltration,25,139
2026-01-15 12:28:20,Malware Download Detected,High,False Positive,10.4.252.241,10.255.203.73,Malware,19,63
2026-01-15 15:07:06,Malware Download Detected,Medium,False Positive,10.111.51.70,10.159.134.250,Malware,28,126
2026-01-15 15:20:21,Suspicious Phishing Email,High,False Positive,10.102.141.70,10.234.70.205,Phishing,4,58
2026-01-15 15:31:54,Data Exfiltration Anomaly,Critical,In Progress,115.85.123.158,10.175.215.19,Exfiltration,10,100
2026-01-15 19:46:16,Unusual PowerShell Execution,High,Open,10.158.172.29,10.104.9.128,Execution,7,38
2026-01-15 20:29:42,Data Exfiltration Anomaly,Low,Resolved,10.138.72.61,235.108.16.23,Exfiltration,17,94
2026-01-15 23:10:47,Unusual PowerShell Execution,High,In Progress,202.0.239.89,10.229.236.18,Execution,10,53
2026-01-15 23:29:28,C2 Beaconing Detected,High,Open,81.17.211.30,10.46.219.196,C2 Beaconing,13,102
2026-01-15 23:41:15,Data Exfiltration Anomaly,Low,False Positive,10.135.177.16,10.203.130.239,Exfiltration,35,156
2026-01-16 02:17:36,Ransomware Activity Detected,High,In Progress,10.172.86.30,10.194.133.212,Ransomware,12,46
2026-01-16 07:34:36,Credential Harvesting Site Access,Critical,Open,10.154.227.134,252.187.78.90,Credential Harvesting,21,61
2026-01-16 08:07:41,Ransomware Activity Detected,Low,False Positive,10.0.88.152,109.132.65.78,Ransomware,52,179
2026-01-16 11:00:54,C2 Beaconing Detected,High,In Progress,10.74.218.154,123.198.225.34,C2 Beaconing,15,58
2026-01-16 12:47:45,Suspicious Phishing Email,High,False Positive,36.141.49.237,173.151.59.104,Phishing,3,103
2026-01-16 13:41:51,Malware Download Detected,High,In Progress,10.254.34.52,176.46.33.171,Malware,8,91
2026-01-16 14:44:56,Suspicious Phishing Email,Medium,False Positive,10.253.174.29,10.205.8.19,Phishing,22,180
2026-01-16 14:59:29,Suspicious Phishing Email,Medium,False Positive,10.130.145.122,10.238.194.251,Phishing,28,171
2026-01-16 17:37:22,Data Exfiltration Anomaly,High,False Positive,205.31.83.25,223.125.13.216,Exfiltration,4,63
