Timestamp,Alert Type,Severity,Status,Source IP,Destination IP,Threat Category,Time to Triage (min),Time to Resolve (min)
2026-02-15 16:32:48,Ransomware Activity Detected,Low,False Positive,10.4.47.212,110.81.72.78,Ransomware,14,100
2026-02-15 17:06:32,Data Exfiltration Anomaly,Low,Resolved,205.79.139.44,55.233.210.227,Exfiltration,19,158
2026-02-15 18:55:13,Unusual PowerShell Execution,High,False Positive,188.95.212.222,180.173.175.138,Execution,1,60
2026-02-15 22:36:10,Suspicious Phishing Email,Medium,False Positive,10.13.127.179,134.35.188.117,Phishing,32,158
2026-02-16 01:51:24,Ransomware Activity Detected,Medium,False Positive,10.179.19.186,10.132.111.18,Ransomware,24,133
2026-02-16 02:04:17,Unusual PowerShell Execution,High,False Positive,10.126.150.52,70.253.224.99,Execution,28,58
2026-02-16 04:32:36,C2 Beaconing Detected,Medium,In Progress,171.255.146.135,10.153.179.34,C2 Beaconing,24,104
2026-02-16 04:49:18,C2 Beaconing Detected,Medium,False Positive,10.25.63.77,10.134.109.255,C2 Beaconing,35,176
2026-02-16 13:17:27,Data Exfiltration Anomaly,High,Resolved,147.251.113.209,175.233.190.145,Exfiltration,10,66
2026-02-16 14:22:25,Unusual PowerShell Execution,Medium,Resolved,10.183.172.250,124.170.40.28,Execution,40,196
2026-02-16 15:14:46,Ransomware Activity Detected,Medium,Resolved,10.13.45.58,10.149.104.79,Ransomware,36,118
2026-02-16 18:58:39,Brute Force Login Attempt,Medium,Open,10.197.14.140,10.27.240.23,Credential Access,15,154
2026-02-16 20:18:19,Data Exfiltration Anomaly,Critical,Resolved,62.101.38.4,10.74.14.131,Exfiltration,7,65
2026-02-17 00:35:50,Malware Download Detected,High,False Positive,10.193.33.173,10.164.192.0,Malware,22,57
2026-02-17 00:52:27,Suspicious Phishing Email,Low,In Progress,222.0.24.171,10.28.199.2,Phishing,38,142
2026-02-17 01:13:14,Brute Force Login Attempt,High,Open,10.196.148.84,129.100.98.204,Credential Access,31,36
2026-02-17 05:56:11,Suspicious Phishing Email,Medium,Open,10.157.233.37,10.202.95.246,Phishing,26,190
2026-02-17 06:20:13,Ransomware Activity Detected,Critical,Resolved,10.98.144.251,10.42.41.46,Ransomware,3,59
2026-02-17 09:00:00,Suspicious Phishing Email,High,False Positive,9.48.174.247,60.25.231.30,Phishing,28,76
2026-02-17 10:28:08,Ransomware Activity Detected,Medium,In Progress,10.123.11.189,165.89.228.100,Ransomware,43,187
2026-02-17 10:45:08,Data Exfiltration Anomaly,Medium,False Positive,10.15.204.249,56.116.159.61,Exfiltration,13,162
2026-02-17 11:40:41,Suspicious Phishing Email,Medium,Open,67.215.84.20,10.198.105.244,Phishing,26,174
2026-02-17 15:10:14,Malware Download Detected,High,False Positive,10.180.80.111,10.250.4.152,Malware,29,80
2026-02-17 18:58:17,Credential Harvesting Site Access,Medium,In Progress,10.89.226.147,10.46.54.55,Credential Harvesting,39,112
2026-02-18 03:22:44,Ransomware Activity Detected,High,In Progress,19.42.94.89,82.21.14.217,Ransomware,3,61
2026-02-18 04:11:41,Credential Harvesting Site Access,High,In Progress,10.39.214.69,10.163.151.243,Credential Harvesting,12,61
2026-02-18 06:57:50,Data Exfiltration Anomaly,Low,False Positive,4.140.132.129,10.211.30.9,Exfiltration,25,149
2026-02-18 07:18:48,Data Exfiltration Anomaly,High,False Positive,10.136.143.157,186.34.0.102,Exfiltration,11,87
2026-02-18 09:34:23,Data Exfiltration Anomaly,Medium,In Progress,194.142.189.113,10.136.187.152,Exfiltration,16,131
2026-02-18 12:06:42,Ransomware Activity Detected,High,In Progress,18.45.215.191,10.6.45.165,Ransomware,10,70
2026-02-18 18:25:23,Unusual PowerShell Execution,Medium,In Progress,84.253.154.212,223.202.240.184,Execution,27,147
2026-02-18 18:51:07,Ransomware Activity Detected,Medium,False Positive,10.89.127.110,10.61.160.229,Ransomware,17,142
2026-02-18 20:28:08,Ransomware Activity Detected,Medium,False Positive,10.59.232.154,244.234.231.106,Ransomware,17,135
2026-02-19 01:46:15,Data Exfiltration Anomaly,High,False Positive,10.123.64.200,10.180.174.170,Exfiltration,38,108
2026-02-19 06:09:33,Suspicious Phishing Email,Medium,Resolved,129.243.141.213,10.199.233.141,Phishing,41,176
2026-02-19 06:56:24,Credential Harvesting Site Access,Medium,Open,39.32.121.126,10.82.182.142,Credential Harvesting,35,136
2026-02-19 15:01:39,Data Exfiltration Anomaly,High,Resolved,10.113.182.37,32.212.186.25,Exfiltration,1,65
2026-02-20 05:32:10,Suspicious Phishing Email,Low,Resolved,10.93.42.69,33.8.77.218,Phishing,23,117
2026-02-20 06:55:44,Suspicious Phishing Email,High,In Progress,10.127.150.234,31.17.91.119,Phishing,26,153
2026-02-20 12:21:35,Credential Harvesting Site Access,Low,Open,10.172.248.186,10.68.128.12,Credential Harvesting,27,170
2026-02-20 15:04:09,Suspicious Phishing Email,Medium,In Progress,10.15.242.250,10.245.61.29,Phishing,32,148
2026-02-20 17:39:27,Data Exfiltration Anomaly,Critical,Open,28.206.8.234,10.75.224.214,Exfiltration,18,37
2026-02-20 22:54:51,Data Exfiltration Anomaly,Low,Resolved,147.159.68.236,57.87.19.69,Exfiltration,29,145
2026-02-21 02:43:52,Credential Harvesting Site Access,Low,Open,10.181.121.77,10.203.54.2,Credential Harvesting,22,138
2026-02-21 08:55:32,Unusual PowerShell Execution,Medium,False Positive,10.5.224.215,29.83.67.76,Execution,5,192
2026-02-21 12:09:07,Brute Force Login Attempt,Medium,Resolved,10.4.129.235,10.177.39.222,Credential Access,33,202
2026-02-21 17:17:43,Suspicious Phishing Email,Low,False Positive,32.222.67.94,242.100.172.205,Phishing,41,85
2026-02-22 01:28:23,Suspicious Phishing Email,Critical,Resolved,10.14.33.168,10.133.189.255,Phishing,7,95
2026-02-22 11:36:06,Suspicious Phishing Email,Medium,In Progress,10.71.167.154,176.118.167.221,Phishing,12,108
2026-02-22 13:00:08,C2 Beaconing Detected,Medium,Open,239.64.209.99,252.115.125.147,C2 Beaconing,16,157
2026-02-22 13:01:20,Malware Download Detected,Low,Open,10.231.186.119,10.114.216.106,Malware,26,122
2026-02-22 13:40:03,Ransomware Activity Detected,Low,Open,10.116.124.141,10.198.50.197,Ransomware,37,171
2026-02-22 13:43:32,Suspicious Phishing Email,Critical,False Positive,217.23.56.249,10.161.126.83,Phishing,2,28
2026-02-22 17:21:11,Ransomware Activity Detected,Medium,Resolved,10.18.191.245,48.236.39.151,Ransomware,1,112
2026-02-22 17:28:06,C2 Beaconing Detected,Critical,Open,10.47.19.124,10.109.60.181,C2 Beaconing,16,58
2026-02-22 23:37:48,Data Exfiltration Anomaly,Low,In Progress,10.73.196.68,10.191.10.246,Exfiltration,36,178
2026-02-23 01:34:31,C2 Beaconing Detected,Medium,False Positive,62.192.162.134,10.209.240.64,C2 Beaconing,47,166
2026-02-23 09:35:10,Suspicious Phishing Email,High,Resolved,10.153.147.235,182.57.31.5,Phishing,7,25
2026-02-23 11:33:12,Brute Force Login Attempt,Critical,Resolved,10.155.11.211,23.234.236.132,Credential Access,19,60
2026-02-24 01:47:13,Credential Harvesting Site Access,Medium,In Progress,10.166.8.98,198.167.238.58,Credential Harvesting,35,180
2026-02-24 04:24:15,Credential Harvesting Site Access,Low,Resolved,155.55.162.44,10.115.141.67,Credential Harvesting,36,167
2026-02-24 05:13:15,Unusual PowerShell Execution,Low,In Progress,106.73.137.167,196.43.38.108,Execution,8,96
2026-02-24 11:47:44,Ransomware Activity Detected,Low,In Progress,10.214.203.77,10.142.111.3,Ransomware,31,191
