Timestamp,Alert Type,Severity,Status,Source IP,Destination IP,Threat Category,Time to Triage (min),Time to Resolve (min)
2026-01-01 03:38:42,Ransomware Activity Detected,High,In Progress,61.149.158.64,10.95.231.155,Ransomware,13,48
2026-01-01 03:56:27,Unusual PowerShell Execution,High,In Progress,10.100.225.201,10.35.211.155,Execution,14,121
2026-01-01 10:22:09,Unusual PowerShell Execution,Medium,In Progress,52.174.74.190,10.32.8.91,Execution,19,148
2026-01-01 15:54:55,Suspicious Phishing Email,Low,In Progress,10.120.150.61,10.136.179.122,Phishing,6,135
2026-01-01 16:45:48,Malware Download Detected,Low,Open,10.105.44.163,80.222.239.68,Malware,25,137
2026-01-01 16:49:08,Data Exfiltration Anomaly,Medium,False Positive,10.96.140.96,10.223.204.103,Exfiltration,34,115
2026-01-01 18:34:10,Data Exfiltration Anomaly,High,Resolved,10.149.75.243,10.155.154.0,Exfiltration,9,102
2026-01-01 18:47:13,Data Exfiltration Anomaly,Low,In Progress,209.46.14.182,10.216.57.136,Exfiltration,19,135
2026-01-01 19:25:12,Malware Download Detected,Medium,Resolved,10.138.233.49,233.177.196.162,Malware,43,177
2026-01-01 20:44:01,Malware Download Detected,High,Open,10.67.190.172,153.228.112.77,Malware,32,37
2026-01-01 21:40:52,Suspicious Phishing Email,Medium,False Positive,10.51.179.161,69.29.56.255,Phishing,27,127
2026-01-01 22:01:13,Ransomware Activity Detected,Low,False Positive,21.42.234.237,10.222.41.103,Ransomware,21,164
2026-01-01 22:21:27,Ransomware Activity Detected,Medium,Resolved,0.95.208.231,96.83.140.28,Ransomware,19,104
2026-01-02 03:51:41,C2 Beaconing Detected,Low,Open,10.113.207.192,10.205.25.15,C2 Beaconing,31,135
2026-01-02 12:27:26,Credential Harvesting Site Access,Medium,Open,10.34.115.244,10.17.48.232,Credential Harvesting,44,172
2026-01-02 12:29:09,Malware Download Detected,High,Open,150.71.255.160,10.203.237.116,Malware,23,135
2026-01-02 13:50:49,Data Exfiltration Anomaly,Low,False Positive,10.34.151.42,10.53.19.110,Exfiltration,37,154
2026-01-02 14:46:00,Brute Force Login Attempt,Medium,False Positive,10.56.30.23,149.109.128.229,Credential Access,27,122
2026-01-02 21:30:45,Ransomware Activity Detected,Medium,False Positive,195.254.1.132,10.244.54.176,Ransomware,16,168
